0,1,2,3,4,5
0.01156,0.012478,0.006732,0.002414,0.000646,0.000136
0.0391,0.0422,0.02277,0.008165,0.002185,0.00046
0.06596,0.0712,0.038412,0.013774,0.003686,0.000776
0.07446,0.0804,0.043362,0.015549,0.004161,0.000876
0.0629,0.0679,0.03663,0.013135,0.003515,0.00074
0.0425,0.0459,0.02475,0.008875,0.002375,0.0005
0.02414,0.0261,0.014058,0.005041,0.001349,0.000284
